"Transport sector greenhouse gas emissions, Canada, 1990 to 2024",,,,,,
,,,,,,
Year,Passenger - Cars (megatonnes of carbon dioxide equivalent),Passenger - Light trucks (megatonnes of carbon dioxide equivalent),"Passenger - Motorcycles, bus, rail, aviation and marine (megatonnes of carbon dioxide equivalent)",Freight - Heavy duty trucks (megatonnes of carbon dioxide equivalent),"Freight - Rail, aviation and marine (megatonnes of carbon dioxide equivalent)",Other (megatonnes of carbon dioxide equivalent)
1990,44.8,25.9,9,19.2,9.8,8.2
1991,43.5,25.5,8,17.8,9.8,7.7
1992,44.2,26.5,8,18.3,9.5,7.7
1993,45.2,27.7,7.8,19.2,9.6,7.8
1994,46,29.3,8.2,21.4,10.1,8.3
1995,44.5,29.8,8.6,22.7,10.1,9.7
1996,44.3,31.1,9.1,23.5,10,10.1
1997,43.9,32.8,9.4,25.2,10.1,11
1998,43.7,34.7,9.7,25.7,9.9,11.8
1999,43.1,36.3,10.1,27.2,9.9,12.8
2000,42.7,36.7,10.3,27.8,9.9,13.1
2001,42.6,37.4,9.6,27.6,9.9,13.4
2002,42.8,38.5,9.6,27.8,9.9,14
2003,42.9,40.1,10.2,30.9,9.9,13.8
2004,43,41.7,10.7,33.1,10.2,13.7
2005,41.9,42.3,10.8,35.4,10.7,13.6
2006,41.3,43,10.9,36.4,10.6,13.2
2007,41.6,44.4,11.5,40.2,10.5,12.2
2008,40.3,44.2,11.6,42.4,10.1,11.8
2009,40,45.4,11,42.6,9,11.4
2010,39.4,46.6,10.7,45,9.6,12.5
2011,37.8,44.6,10.9,46.1,9.6,12.8
2012,36.8,45.4,11.7,45.8,9.8,12.8
2013,36.5,46.9,12.3,45.6,9.7,13.1
2014,35,47,12,45.1,9.9,12.4
2015,35.3,48.5,11.9,41.5,9.7,12.9
2016,35.1,51.2,12.1,38.3,9.2,13.8
2017,33.4,53.6,12.6,38.8,10,14.3
2018,32.7,55.5,13.4,40.3,10.7,14.5
2019,32,57.4,13.2,39.5,10.6,14.6
2020,24.9,48.8,8.4,34.3,10.3,13.3
2021,25.7,50.4,8.9,36.7,10,13.9
2022,26,52.7,12,38,9.1,13.8
2023,25.4,54.1,12.6,36,8.9,13.7
2024,24.2,55,12.3,35.7,9,13.7
,,,,,,
"Note: Data are presented as rounded figures. However, all calculations have been performed using unrounded data. The Other category includes other recreational, commercial and residential uses. Categories have been adapted from the classification used in the National Inventory Report. For more details, consult the ""Methods"" section (www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions.html#methods-transportation).",,,,,,
Source: Environment and Climate Change Canada (2026) National Inventory Report 1990-2024: Greenhouse Gas Sources and Sinks in Canada (www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html).,,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,,
