,"Population"
"1950",13743069
"1951",14085724
"1952",14485745
"1953",14901525
"1954",15323201
"1955",15733923
"1956",16167047
"1957",16650052
"1958",17113389
"1959",17524906
"1960",17909356
"1961",18273684
"1962",18622345
"1963",18971005
"1964",19326326
"1965",19688805
"1966",20055232
"1967",20408050
"1968",20731929
"1969",21033940
"1970",21434577
"1971",21888679
"1972",22222221
"1973",22502029
"1974",22812432
"1975",23136252
"1976",23442114
"1977",23715308
"1978",23962690
"1979",24219124
"1980",24511510
"1981",24815786
"1982",25101518
"1983",25360726
"1984",25602075
"1985",25843922
"1986",26116071
"1987",26436889
"1988",26815064
"1989",27244406
"1990",27657204
"1991",28015761
"1992",28347641
"1993",28668166
"1994",28981189
"1995",29289423
"1996",29593849
"1997",29882752
"1998",30144812
"1999",30399778
"2000",30683313
"2001",31002763
"2002",31322398
"2003",31619450
"2004",31911668
"2005",32215916
"2006",32531867
"2007",32862459
"2008",33218541
"2009",33593917
"2010",33963412
"2011",34323531
"2012",34691878
"2013",35063691
"2014",35404608
"2015",35732126
"2016",36113532
"2017",36554348
"2018",37035254
"2019",37522584
"2020",37888705
"2021",38155012
"2022",38454327
"2023",38781291
"2024",39107046
"2025",39431447
"2026",39753766
